beta [-],T [K],std [K],pressure [Pa]
5,446.45,4.4645,101325
10,447.85,4.4785,101325
15,449.55,4.4955,101325
20,451.45,4.5145,101325
25,453.55,4.5355,101325
30,455.95,4.5595,101325
35,458.55,4.5855,101325
40,461.45,4.6145,101325
45,464.45,4.6445,101325
50,468.35,4.6835,101325
55,472.25,4.7225,101325
60,476.85,4.7685,101325
65,482.05,4.8205,101325
70,488.35,4.8835,101325
75,495.85,4.9585,101325
80,501.75,5.0175,101325
85,510.85,5.1085,101325
90,519.35,5.1935,101325
