Name;SMILES
1-methyl-cis-3-ethylcyclohexane;CC[C@@H]1CCC[C@H](C)C1
1-methyl-cis-3-isopropylcyclopentane;C[C@H]1CC[C@H](C1)C(C)C
1-methyl-cis-3-propylcyclopentane;CCC[C@H]1CC[C@@H](C)C1
1-methyl-cis-4-ethylcyclohexane;CC[C@@H]1CC[C@H](C)CC1
1-methyl-trans-2-ethylcyclohexane;CC[C@H]1CCCC[C@@H]1C
1-methyl-trans-2-isopropylcyclopentane;CC(C)[C@@H]1CCC[C@H]1C
1-methyl-trans-2-propylcyclopentane;CCC[C@H]1CCC[C@@H]1C
1-methyl-trans-3-ethylcyclohexane;CC[C@H]1CCC[C@H](C)C1
1-methyl-trans-3-isopropylcyclopentane;CC(C)[C@@H]1CC[C@@H](C)C1
1-methyl-trans-3-propylcyclopentane;CCC[C@H]1CC[C@H](C)C1
1-methyl-trans-4-ethylcyclohexane;CC[C@H]1CC[C@H](C)CC1
propylcyclohexane;CCCC1CCCCC1
1,cis-2,cis-3,cis-4-tetramethylcyclopentane;[C@@H]1([C@H]([C@@H]([C@@H](C1)C)C)C)C
1,cis-2,trans-3,trans-4-tetramethylcyclopentane;[C@@H]1([C@H]([C@@H]([C@H](C1)C)C)C)C
1,cis-2,trans-3,cis-4-tetramethylcyclopentane;C[C@@H]1C[C@H](C)[C@@H](C)[C@@H]1C
1,cis-2,cis-3,trans-4-tetramethylcyclopentane;C[C@@H]1C[C@@H](C)[C@H](C)[C@@H]1C
1,1,cis-3,cis-4-tetramethylcyclopentane;C1(C[C@H]([C@@H](C1)C)C)(C)C
1,2,2,trans-3-tetramethylcyclopentane;[C@@H]1(C([C@@H](CC1)C)(C)C)C
1,1,cis-2,cis-4-tetramethylcyclopentane;C1([C@@H](C[C@@H](C1)C)C)(C)C
1,1,3,3-tetramethylcyclopentane;CC1(C)CCC(C)(C)C1
1,1,cis-3,trans-4-tetramethylcyclopentane;C1(C[C@@H]([C@@H](C1)C)C)(C)C
1,2,2,cis-3-tetramethylcyclopentane;[C@@H]1(C([C@H](CC1)C)(C)C)C
1,1,cis-2,trans-3-tetramethylcyclopentane;C1([C@@H]([C@@H](CC1)C)C)(C)C
1,1,cis-2,cis-3-tetramethylcyclopentane;C[C@@H]1CCC(C)(C)[C@H]1C
1,1,2,2-tetramethylcyclopentane;CC1(C)CCCC1(C)C
1,trans-2,trans-3,cis-4-tetramethylcyclopentane;C[C@H]1C[C@@H](C)[C@H](C)[C@@H]1C
1,trans-2,cis-3,trans-4-tetramethylcyclopentane;C[C@H]1C[C@H](C)[C@@H](C)[C@@H]1C
1,trans-2,trans-4-trimethylcyclohexane;[C@@H]1([C@@H](C[C@@H](CC1)C)C)C
1,cis-2,trans-4-trimethylcyclohexane;[C@@H]1([C@H](C[C@@H](CC1)C)C)C
1,cis-2,cis-3-trimethylcyclohexane;[C@@H]1([C@H](CCC[C@H]1C)C)C
cis,trans-1,3,5-trimethylcyclohexane;[C@@H]1(C[C@@H](C[C@H](C1)C)C)C
1,cis-3,cis-5-trimethylcyclohexane;C[C@H]1C[C@H](C[C@H](C1)C)C
1,trans-2,cis-4-trimethylcyclohexane;C[C@@H]1CC[C@H](C)[C@@H](C)C1
1,cis-3,trans-5-trimethylcyclohexane;C[C@H]1C[C@@H](C[C@@H](C1)C)C
1,1,3-trimethylcyclohexane;CC1CCCC(C)(C)C1
1,cis-2,trans-3-trimethylcyclohexane;C[C@H]1CCC[C@H](C)C1C
1,1,4-trimethylcyclohexane;CC1CCC(C)(C)CC1
1,1,2-trimethylcyclohexane;CC1CCCCC1(C)C
1,cis-2,cis-4-trimethylcyclohexane;C[C@@H]1CC[C@H](C)[C@H](C)C1
1,trans-2,cis-3-trimethylcyclohexane;C[C@H]1CCC[C@@H](C)[C@@H]1C
cyclodecane;C1CCCCCCCCC1
butylcyclohexane;CCCCC1CCCCC1
pentylcyclopentane;CCCCCC1CCCC1
cycloundecane;C1CCCCCCCCCC1
pentylcyclohexane;CCCCCC1CCCCC1
hexylcyclopentane;CCCCCCC1CCCC1
cyclododecane;C1CCCCCCCCCCC1
heptylcyclopentane;CCCCCCCC1CCCC1
hexylcyclohexane;CCCCCCC1CCCCC1
