Name;eta_B_star;eta_B_star_norm
1,1,3,3-tetramethylcyclopentane;9.96531;1.00000000
1,1,cis-3,trans-4-tetramethylcyclopentane;8.30705;0.83359662
1,2,2,cis-3-tetramethylcyclopentane;7.68198;0.77087193
1,1,cis-2,trans-3-tetramethylcyclopentane;7.85099;0.78783223
1,1,cis-2,cis-3-tetramethylcyclopentane;7.85459;0.78819309
1,1,2,2-tetramethylcyclopentane;9.23439;0.92665330
1,trans-2,trans-3,cis-4-tetramethylcyclopentane;6.36931;0.63914797
1,trans-2,cis-3,trans-4-tetramethylcyclopentane;6.36881;0.63909791
1,trans-2,trans-4-trimethylcyclohexane;5.11961;0.51374311
1,cis-2,trans-4-trimethylcyclohexane;5.12756;0.51454114
1,cis-2,cis-3-trimethylcyclohexane;4.83984;0.48566899
cis,trans-1,3,5-trimethylcyclohexane;5.41256;0.54313961
1,cis-3,cis-5-trimethylcyclohexane;5.40358;0.54223935
1,trans-2,cis-4-trimethylcyclohexane;5.12819;0.51460379
1,cis-3,trans-5-trimethylcyclohexane;5.40743;0.54262556
1,1,3-trimethylcyclohexane;6.77129;0.67948592
1,cis-2,trans-3-trimethylcyclohexane;4.83857;0.48554116
1,1,4-trimethylcyclohexane;6.77221;0.67957825
1,1,2-trimethylcyclohexane;6.32317;0.63451853
1,cis-2,cis-4-trimethylcyclohexane;5.12326;0.51410891
1,trans-2,cis-3-trimethylcyclohexane;4.84216;0.48590124
cyclodecane;0.00000;0.00000000
butylcyclohexane;1.15976;0.99998530
pentylcyclopentane;1.15978;1.00000000
cycloundecane;0.00000;0.00000000
pentylcyclohexane;1.15764;0.99806031
hexylcyclopentane;1.15989;1.00000000
cyclododecane;0.00000;0.00000000
heptylcyclopentane;1.15912;1.00000000
hexylcyclohexane;1.15814;0.99915286
