nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
13;4.07972;0.50815594;170.254;769.66;27.79;5.72E-04;298.17;0.248;0.463;379.82;257.61;40.13;-8.0180;1610.10;0.0136;-9.82E-06;0.2979;0.2506;0.2857;22.0270;-3845.60;-4.4039;0.0000E+00;0.0000E+00;203.734;0.5251;-1.1325E-03;1.3479E-06;0.1510;-4.6874E-05;-1.3862E-07;75.853;0.380;63.771;1.2222;3.50
13;4.31297;0.57624733;170.254;770.24;27.79;5.72E-04;298.17;0.248;0.463;380.37;288.31;40.13;-8.0442;1615.70;0.0136;-9.84E-06;0.2979;0.2564;0.2857;20.6950;-3734.10;-3.9937;0.0000E+00;0.0000E+00;198.515;0.5606;-1.2015E-03;1.3777E-06;0.1489;-3.9975E-05;-1.4395E-07;75.916;0.380;63.788;1.2222;4.36
13;3.55908;0.35616983;170.254;770.78;27.13;5.78E-04;295.07;0.244;0.493;383.15;338.14;39.99;-8.4666;1694.00;0.0144;-1.03E-05;0.2948;0.2446;0.2857;20.7040;-3790.30;-3.9759;0.0000E+00;0.0000E+00;120.958;1.2467;-2.6143E-03;2.3985E-06;0.1461;-2.6017E-05;-1.5688E-07;77.222;0.380;63.777;1.2222;2.58
13;3.55886;0.35610774;170.254;775.02;27.13;5.78E-04;295.07;0.243;0.493;385.37;338.14;39.99;-8.6516;1733.90;0.0147;-1.04E-05;0.2948;0.2473;0.2857;20.4250;-3786.10;-3.8871;0.0000E+00;0.0000E+00;125.822;1.2182;-2.5407E-03;2.3255E-06;0.1462;-2.6225E-05;-1.5496E-07;77.686;0.380;63.899;1.2222;3.65
13;3.79179;0.42410427;170.254;776.44;27.13;5.78E-04;295.07;0.242;0.488;385.93;344.16;39.96;-8.6667;1741.00;0.0146;-1.04E-05;0.2948;0.2430;0.2857;256.5800;-12145.00;-94.9010;5.9570E-02;-1.4277E-05;117.691;1.2904;-2.6832E-03;2.4309E-06;0.1457;-2.4607E-05;-1.5566E-07;82.513;0.380;66.120;1.2222;3.51
13;3.79133;0.42396890;170.254;770.78;27.13;5.78E-04;295.07;0.244;0.493;383.15;338.14;39.99;-8.4666;1694.00;0.0144;-1.03E-05;0.2948;0.2469;0.2857;23.2750;-4012.00;-4.7668;0.0000E+00;0.0000E+00;123.014;1.2349;-2.5879E-03;2.3750E-06;0.1461;-2.6017E-05;-1.5688E-07;77.222;0.380;63.777;1.2222;3.51
13;3.55977;0.35637219;170.254;772.19;27.13;5.78E-04;295.07;0.244;0.493;384.26;338.14;39.99;-8.5288;1707.30;0.0145;-1.04E-05;0.2948;0.2456;0.2857;23.6110;-4048.10;-4.8689;0.0000E+00;0.0000E+00;122.639;1.2368;-2.5888E-03;2.3733E-06;0.1461;-2.6087E-05;-1.5624E-07;77.377;0.380;63.818;1.2222;3.34
13;3.79171;0.42408171;170.254;772.19;27.13;5.78E-04;295.07;0.244;0.493;384.26;338.14;39.96;-8.5288;1707.30;0.0145;-1.04E-05;0.2948;0.2447;0.2857;19.7790;-3717.10;-3.6905;0.0000E+00;0.0000E+00;121.871;1.2412;-2.5987E-03;2.3821E-06;0.1461;-2.6087E-05;-1.5624E-07;77.377;0.380;63.818;1.2222;3.28
13;3.55976;0.35636927;170.254;766.55;27.13;5.78E-04;295.07;0.246;0.493;381.48;313.15;40.00;-8.2772;1653.50;0.0141;-1.02E-05;0.2948;0.2434;0.2857;24.9230;-4132.40;-5.2776;0.0000E+00;0.0000E+00;142.320;1.1142;-2.3761E-03;2.2694E-06;0.1480;-3.2684E-05;-1.5330E-07;76.758;0.380;63.654;1.2222;3.51
13;3.79187;0.42412838;170.254;766.55;27.13;5.78E-04;295.07;0.246;0.493;381.48;338.14;39.96;-8.2772;1653.50;0.0141;-1.02E-05;0.2948;0.2443;0.2857;23.5840;-4017.50;-4.8653;0.0000E+00;0.0000E+00;118.188;1.2634;-2.6619E-03;2.4487E-06;0.1460;-2.5800E-05;-1.5885E-07;76.758;0.380;63.654;1.2222;3.63
