Name;eta_B_star;eta_B_star_norm
heptane;-0.00391;1.00000
octane;-0.00442;1.00000
nonane;-0.00328;1.00000
decane;-0.00362;1.00000
undecane;-0.00396;1.00000
dodecane;-0.00430;1.00000
tridecane;-0.00464;1.00000
tetradecane;-0.00498;1.00000
pentadecane;-0.00266;1.00000
hexadecane;-0.00283;1.00000
heptadecane;-0.00300;1.00000
octadecane;-0.00317;1.00000
nonadecane;-0.00334;1.00000
eicosane;-0.00351;1.00000
